Homology group node id,class,Genome 1,Genome 2,Genome 3,Genome 4
218130,core,1,1,2,1
218132,core & single copy orthologous,1,1,1,1
218133,core & single copy orthologous,1,1,1,1
218134,core & single copy orthologous,1,1,1,1
218135,core & single copy orthologous,1,1,1,1
218136,core & single copy orthologous,1,1,1,1
218138,core & single copy orthologous,1,1,1,1
218139,core & single copy orthologous,1,1,1,1
218140,core & single copy orthologous,1,1,1,1
218141,core & single copy orthologous,1,1,1,1
218142,core & single copy orthologous,1,1,1,1
218143,core & single copy orthologous,1,1,1,1
218144,core & single copy orthologous,1,1,1,1
218145,core & single copy orthologous,1,1,1,1
218148,core & single copy orthologous,1,1,1,1
218149,core & single copy orthologous,1,1,1,1
218150,core & single copy orthologous,1,1,1,1
218151,core & single copy orthologous,1,1,1,1
218152,core & single copy orthologous,1,1,1,1
218153,core & single copy orthologous,1,1,1,1
218155,core & single copy orthologous,1,1,1,1
218156,core & single copy orthologous,1,1,1,1
218158,core & single copy orthologous,1,1,1,1
218159,core & single copy orthologous,1,1,1,1
218160,core & single copy orthologous,1,1,1,1
218162,core & single copy orthologous,1,1,1,1
218163,core & single copy orthologous,1,1,1,1
218164,core & single copy orthologous,1,1,1,1
218165,core & single copy orthologous,1,1,1,1
218166,core,3,3,2,3
218167,core & single copy orthologous,1,1,1,1
218168,core & single copy orthologous,1,1,1,1
218169,core & single copy orthologous,1,1,1,1
218170,core & single copy orthologous,1,1,1,1
218171,core & single copy orthologous,1,1,1,1
218174,core & single copy orthologous,1,1,1,1
218175,core & single copy orthologous,1,1,1,1
218176,core & single copy orthologous,1,1,1,1
218177,core & single copy orthologous,1,1,1,1
218185,core,2,1,1,1
218186,core & single copy orthologous,1,1,1,1
218194,core & single copy orthologous,1,1,1,1
218195,core & single copy orthologous,1,1,1,1
218196,core & single copy orthologous,1,1,1,1
218197,core & single copy orthologous,1,1,1,1
218198,core & single copy orthologous,1,1,1,1
218199,core & single copy orthologous,1,1,1,1
218200,core & single copy orthologous,1,1,1,1
